μηρός	the thigh	19	0.37	0	0	1	0.23
ἄμφω	both	19	0.37	2	0.53	2	0.47
ῥέω	to flow	19	0.37	1	0.26	0	0.47
πολύμητις	of many counsels	19	0.37	0	0	6	1.42
πότνια	mistress	19	0.37	5	1.32	1	0.23
γόνυ	the knee	19	0.37	5	1.32	0	0.23
ἦμος	at which time	19	0.37	0	0	1	0.23
καταδύω	to go down	19	0.37	1	0.26	0	0.23
νεικέω	to quarrel	19	0.37	2	0.53	2	0.47
ἅπας	quite all	19	0.37	2	0.53	3	0.71
νήπιος	infant	19	0.37	5	1.32	0	0.71
ἡδύς	sweet	19	0.37	0	0	1	0.23
βοή	a loud cry	19	0.37	5	1.32	0	0.23
ἐυκνήμις	NoDef	18	0.35	1	0.26	0	0.23
κιχάνω	to reach	18	0.35	3	0.79	1	0.23
φράζω	to point out	18	0.35	0	0	2	0.47
ὁπότε	when	18	0.35	0	0	1	0.23
παύω	to make to cease	18	0.35	0	0	1	0.23
εἴδομαι	are visible	18	0.35	0	0	3	0.71
τρέφω	to nourish	18	0.35	1	0.26	0	0.71
ποιμήν	herdsman	18	0.35	1	0.26	0	0.71
μάκαρ	blessed	18	0.35	1	0.26	3	0.71
κλαίω	to weep	18	0.35	0	0	2	0.47
δαίς	feast	18	0.35	0	0	5	1.18
πάρος	beforetime	18	0.35	1	0.26	3	0.71
τέρπω	to satisfy	18	0.35	0	0	8	1.89
περικαλλής	very beautiful	18	0.35	2	0.53	3	0.71
εὕδω	to sleep	18	0.35	0	0	4	0.94
δαίφρων	NoDef	18	0.35	2	0.53	5	1.18
ἕτερος	the one; the other (of two)	18	0.35	0	0	1	0.23
μεγαλήτωρ	great-hearted	18	0.35	2	0.53	2	0.47
ἀρηίφιλος	NoDef	18	0.35	1	0.26	0	0.47
σχεδόν	close	18	0.35	1	0.26	0	0.47
ἀμφίπολος	busied about	18	0.35	5	1.32	0	0.47
δίφρος	the chariot (board); seat	18	0.35	2	0.53	0	0.47
σκῆπτρον	a staff	17	0.33	1	0.26	0	0.47
θίς	a heap	17	0.33	0	0	1	0.23
λευκώλενος	white-armed	17	0.33	2	0.53	0	0.23
ἀνίστημι	to make to stand up	17	0.33	0	0	1	0.23
ἑκατόμβη	an offering of a hundred oxen	17	0.33	1	0.26	0	0.23
ἡγέομαι	to lead; to consider	17	0.33	0	0	2	0.47
πόρω	 pres. not attested; aor. to furnish	17	0.33	3	0.79	1	0.23
χόλος	gall	17	0.33	3	0.79	1	0.23
